id,name,ep_carrier_name
easypost_services_01,UPS Rates,Amazon MWS
easypost_services_02,USPS Rates,Amazon MWS
easypost_services_03,FedEx Rates,Amazon MWS
easypost_services_04,UPS Labels,Amazon MWS
easypost_services_05,USPS Labels,Amazon MWS
easypost_services_06,FedEx Labels,Amazon MWS
easypost_services_07,UPS Tracking,Amazon MWS
easypost_services_08,USPS Tracking,Amazon MWS
easypost_services_09,FedEx Tracking,Amazon MWS
easypost_services_10,parcelConnectBookService,APC
easypost_services_11,parcelConnectExpeditedDDP,APC
easypost_services_12,parcelConnectExpeditedDDU,APC
easypost_services_13,parcelConnectPriorityDDP,APC
easypost_services_14,parcelConnectPriorityDDPDelcon,APC
easypost_services_15,parcelConnectPriorityDDU,APC
easypost_services_16,parcelConnectPriorityDDUDelcon,APC
easypost_services_17,parcelConnectPriorityDDUPQW,APC
easypost_services_18,parcelConnectStandardDDU,APC
easypost_services_19,parcelConnectStandardDDUPQW,APC
easypost_services_20,parcelConnectPacketDDU,APC
easypost_services_21,Domestic,Aramex
easypost_services_22,PriorityDocumentExpress,Aramex
easypost_services_23,PriorityParcelExpress,Aramex
easypost_services_24,PriorityLetterExpress,Aramex
easypost_services_25,DeferredDocumentExpress,Aramex
easypost_services_26,DeferredParcelExpress,Aramex
easypost_services_27,GroundDocumentExpress,Aramex
easypost_services_28,GroundParcelExpress,Aramex
easypost_services_29,EconomyParcelExpress,Aramex
easypost_services_30,48HRBrownInstall,ArrowXL
easypost_services_31,48HRBrownInstallRemove,ArrowXL
easypost_services_32,48HROther,ArrowXL
easypost_services_33,48HROtherRemove,ArrowXL
easypost_services_34,48HRWhiteInstall,ArrowXL
easypost_services_35,48HRWhiteInstallRemove,ArrowXL
easypost_services_36,48HRWhiteRemove,ArrowXL
easypost_services_37,ExpressBrownInstall,ArrowXL
easypost_services_38,ExpressBrownInstallRemove,ArrowXL
easypost_services_39,ExpressOther,ArrowXL
easypost_services_40,ExpressOtherRemove,ArrowXL
easypost_services_41,ExpressWhiteInstall,ArrowXL
easypost_services_42,ExpressWhiteInstallRemove,ArrowXL
easypost_services_43,ExpressWhiteRemove,ArrowXL
easypost_services_44,StandardBrownInstall,ArrowXL
easypost_services_45,StandardBrownInstallRemove,ArrowXL
easypost_services_46,StandardBrownRemove,ArrowXL
easypost_services_47,StandardOther,ArrowXL
easypost_services_48,StandardOtherAssemble,ArrowXL
easypost_services_49,StandardOtherNoUnpack,ArrowXL
easypost_services_50,StandardOtherRemove,ArrowXL
easypost_services_51,StandardOtherUnpack,ArrowXL
easypost_services_52,StandardOtherUnpackLeavePackaging,ArrowXL
easypost_services_53,StandardReturns,ArrowXL
easypost_services_54,StandardWhiteInstall,ArrowXL
easypost_services_55,StandardWhiteInstallRemove,ArrowXL
easypost_services_56,StandardWhiteRemove,ArrowXL
easypost_services_57,PMI,Asendia
easypost_services_58,ePacket,Asendia
easypost_services_59,IPA,Asendia
easypost_services_60,ISAL,Asendia
easypost_services_61,NormalRegistered,Asendia HK
easypost_services_62,PostExpress,Asendia HK
easypost_services_63,ExpressPost,Australia Post
easypost_services_64,ExpressPostSignature,Australia Post
easypost_services_65,ParcelPost,Australia Post
easypost_services_66,ParcelPostSignature,Australia Post
easypost_services_67,ParcelPostExtra,Australia Post
easypost_services_68,ParcelPostWinePlusSignature,Australia Post
easypost_services_69,AxleHireDelivery,AxleHire
easypost_services_70,Boxberry,Boxberry
easypost_services_71,RegularParcel,Canada Post
easypost_services_72,ExpeditedParcel,Canada Post
easypost_services_73,Xpresspost,Canada Post
easypost_services_74,XpresspostCertified,Canada Post
easypost_services_75,Priority,Canada Post
easypost_services_76,LibraryBooks,Canada Post
easypost_services_77,ExpeditedParcelUSA,Canada Post
easypost_services_78,PriorityWorldwideEnvelopeUSA,Canada Post
easypost_services_79,PriorityWorldwidePakUSA,Canada Post
easypost_services_80,PriorityWorldwideParcelUSA,Canada Post
easypost_services_81,SmallPacketUSAAir,Canada Post
easypost_services_82,TrackedPacketUSA,Canada Post
easypost_services_83,TrackedPacketUSALVM,Canada Post
easypost_services_84,XpresspostUSA,Canada Post
easypost_services_85,XpresspostInternational,Canada Post
easypost_services_86,InternationalParcelAir,Canada Post
easypost_services_87,InternationalParcelSurface,Canada Post
easypost_services_88,PriorityWorldwideEnvelopeIntl,Canada Post
easypost_services_89,PriorityWorldwidePakIntl,Canada Post
easypost_services_90,PriorityWorldwideParcelIntl,Canada Post
easypost_services_91,SmallPacketInternationalAir,Canada Post
easypost_services_92,SmallPacketInternationalSurface,Canada Post
easypost_services_93,TrackedPacketInternational,Canada Post
easypost_services_94,Ground,Canpar
easypost_services_95,SelectLetter,Canpar
easypost_services_96,SelectPak,Canpar
easypost_services_97,Select,Canpar
easypost_services_98,OvernightLetter,Canpar
easypost_services_99,OvernightPak,Canpar
easypost_services_100,Overnight,Canpar
easypost_services_101,SelectUSA,Canpar
easypost_services_102,USAPak,Canpar
easypost_services_103,USALetter,Canpar
easypost_services_104,USA,Canpar
easypost_services_105,International,Canpar
easypost_services_106,DISTRIBUTION,Columbus Last Mile
easypost_services_107,Same Day,Columbus Last Mile
easypost_services_108,Parcel,Colis Prive
easypost_services_109,Scheduled,Deliv
easypost_services_110,OnDemand,Deliv
easypost_services_111,PacketPlus,Deutsche Post
easypost_services_112,Packet,DHL eCommerce Asia
easypost_services_113,PacketPlus,DHL eCommerce Asia
easypost_services_114,ParcelDirect,DHL eCommerce Asia
easypost_services_115,ParcelDirectExpedited,DHL eCommerce Asia
easypost_services_116,BreakBulkEconomy,DHL Express
easypost_services_117,BreakBulkExpress,DHL Express
easypost_services_118,DomesticEconomySelect,DHL Express
easypost_services_119,DomesticExpress,DHL Express
easypost_services_120,DomesticExpress1030,DHL Express
